date,site,equipmentType,objectSerialNo,stationID,action,deplymentType,time,waypoint,latitude,longitude,depth,substrateType,crew,comment
2023-07-27,JOY,VR2Tx,490690,RT-JOY-01-A,deployed,RT,15:41:00,17,45.369646,-74.797327,1.25,,"AS, ND, EP",
2023-07-26,lab,VR2Tx,490690,RT-JOY-01-A,configure,RT,14:23:00,,,,,,"AS, ND","Initializing to RT-JOY, no transmission"
2023-07-27,JOY,VR2Tx,490690,RT-JOY-01-A,retrieved,RT,16:31:00,,,,,,"AS, ND, EP",
2023-07-27,JOY,VR2Tx,490690,RT-JOY-01-A,configure,RT,18:30:19,,,,,,"AS, ND, EP",TURNED OFF LOGGING AND DIAGNOSTICS
2023-07-28,lab,VR2Tx,490690,RT-JOY-01-A,dataDownload,RT,13:35:00,,,,,,ND,"data downloaded, remains on receiver, not clock corrected yet"
2023-08-01,lab,VR2Tx,490690,RT-JOY-01-A,dataDownload,RT,10:16:00,,,,,,"ND, AS",data clock drift corrected
2023-07-27,JOY,VR2Tx,490687,RT-JOY-02-A,deployed,RT,15:24:00,16,45.369866,-74.797016,1.5,,"AS, ND, EP",
2023-07-26,lab,VR2Tx,490687,RT-JOY-02-A,configure,RT,14:26:40,,,,,,"AS, ND","Initializing to RT-JOY, no transmission"
2023-07-27,JOY,VR2Tx,490687,RT-JOY-02-A,retrieved,RT,16:39:00,,,,,,"AS, ND, EP",
2023-07-27,JOY,VR2Tx,490687,RT-JOY-02-A,configure,RT,19:39:36,,,,,,"AS, ND, EP",TURNED OFF LOGGING AND DIAGNOSTICS
2023-07-28,lab,VR2Tx,490687,RT-JOY-02-A,dataDownload,RT,13:51:00,,,,,,ND,"data downloaded, remains on receiver, not clock corrected yet"
2023-08-01,lab,VR2Tx,490687,RT-JOY-02-A,dataDownload,RT,10:16:00,,,,,,"ND, AS",data clock drift corrected
2023-07-27,JOY,VR2Tx,490682,RT-JOY-03-A,deployed,RT,15:18:00,15,45.369779,-74.797066,2.2,,"AS, ND, EP","LINE BUOYS FLOATING NEAR SURFACE, MAY AFECT TILT"
2023-07-26,lab,VR2Tx,490682,RT-JOY-03-A,configure,RT,14:29:47,,,,,,"AS, ND","Initializing to RT-JOY, no transmission"
