"date","site","equip_type","serial_id","station_id","action","deploy_type","time","wpt","lat","lon","depth_m","crew","comment","file_name","entry_date","entry_initials","data_flag"
"2023-08-16","LWE","VR2Tx","490675","RT-LWE-04-A","retrieved","RT","11:18:16","78",NA,NA,"1.75","AS, ND, T","RETREIVED WITH RT TAGS 1570060 & 1570058","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","RTtag","1570058","RT-LWE-04-A","retrieved","RT","11:18:16","78",NA,NA,NA,"AS, ND, T","V7, SEE STATION RT-LWE-04-A RETREIVAL 2023-08-16","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","RTtag","1570060","RT-LWE-04-A","retrieved","RT","11:18:16","78",NA,NA,NA,"AS, ND, T","V13, SEE STATION RT-LWE-04-A RETREIVAL 2023-08-17","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","VR2Tx","490668","RT-LWE-01-A","retrieved","RT","11:29:02","79, 80",NA,NA,"1.3","AS, ND, T","RETREIVERD WITH AQUAMEASURE DO 671333","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","AMdo","671333","RT-LWE-01-A","retrieved","RT","11:29:02","79, 80",NA,NA,NA,"AS, ND, T","SEE STATION RT-LWE-01-A RETREIVAL 2023-08-16","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","VR2Tx","490672","RT-LWE-02-A","retrieved","RT","11:38:16","81, 82",NA,NA,"1.4","AS, ND, T",NA,"LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","VR2Tx","490666","RT-LWE-03-A","retrieved","RT","11:44:10","83, 84",NA,NA,"1.5","AS, ND, T",NA,"LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","VR2Tx","490679","RT-LWE-07-A","retrieved","RT","11:55:00","85, 86",NA,NA,"1.8","AS, ND, T",NA,"LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","VR2Tx","490665","RT-LWE-08-A","retrieved","RT","12:01:35","87, 88",NA,NA,"1.7","AS, ND, T","RETREIVED WITH AQUAMEASURE DO 671355","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
"2023-08-16","LWE","AMdo","671355","RT-LWE-08-A","retrieved","RT","12:01:35","87, 88",NA,NA,NA,"AS, ND, T","SEE STATION RT-LWE-08-A RETREIVAL 2023-08-16","LTMFTN_AS_2024-01-04.xlsx","2024-01-04","AS",""
