"date","site","obj_name","file_name","record_type","description","device","crew","comments","...10","...11","entry_date","entry_initials","data_flag"
"2023-07-27","JOY","2023-07-27-15-51-13","LTMFTN_AS_2024-01-04.xlsx","track","DRIFT TEST","Wallace","AS, ND, EP","V7 & V13 10SEC TAGS USED",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:28a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","2M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","dock","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP",NA,NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:30a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","2M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:32a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","2.1M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:33a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","vegetation, deph 1.25",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:35a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","1.25M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-936a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","1M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:38a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","2M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:40a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","1.25M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:41a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","0.75M DEPTH",NA,NA,"2024-01-04","AS",""
"2023-07-27","JOY","27-jul-9:44a","LTMFTN_AS_2024-01-04.xlsx","wpt","depth measure","Wallace","AS, ND, EP","2M DEPTH",NA,NA,"2024-01-04","AS",""
